date,channel,platform,creativeid,adlength,headlinepurpose,backgroundcolor_luminance,headlinelength,subheadlinelength,ctalength,spend,impressions,clicks,revenue
2024-12-30,display,dv360,CMDSPMM-CID9,Static,Product Detail,Light,20,20,5,1279.630928,87145.90103,17.76701031,83.8805
2024-12-30,display,dv360,CMDSSTR-CID1,Static,Product Detail,Medium,16,20,9,366.1710526,16973.89474,6.263157895,118.0184211
2024-12-30,display,dv360,CMDSSTR-CID10,Static,Product Detail,Light,12,28,9,240.0880952,15069.83333,5.283333333,655.6896369
2024-12-30,display,dv360,CMDSSTR-CID12,Static,Product Detail,Light,21,13,9,81.72631579,6048.442105,0.884210526,0
2024-12-30,display,dv360,CMDSSTR-CID14,Static,Product Detail,Light,16,21,9,112.9428571,7390.4,1.2,0
2024-12-30,display,dv360,CMDSSTR-CID15,Static,Product Detail,Light,21,31,9,76.48,6626.48,1.68,0
2024-12-30,display,dv360,CMDSSTR-CID17,Static,Product Detail,Light,13,16,9,384.2313725,24126.55686,7.247058824,688.7776176
2024-12-30,display,dv360,CMDSSTR-CID18,Static,Product Detail,Light,11,22,9,115.8965517,10072.85517,1.786206897,0
2024-12-30,display,dv360,CMDSSTR-CID2,Static,Product Detail,Light,12,13,9,781.6186047,40012.58605,12.04651163,0
2024-12-30,display,dv360,CMDSSTR-CID3,Static,Product Detail,Light,17,22,9,179.032,15454.32,4.48,0
2024-12-30,display,dv360,CMDSSTR-CID4,Static,Product Detail,Light,17,17,9,228.0464286,8567.55,3.15,0
2024-12-30,display,dv360,CMDSSTR-CID5,Static,Product Detail,Light,16,13,9,135.2631579,10767.76842,2.652631579,0
2024-12-30,display,dv360,CMDSSTR-CID6,Static,Product Detail,Light,19,28,9,336.5813953,18019.36744,5.404651163,0
2024-12-30,display,dv360,CMDSSTR-CID7,Static,Product Detail,Medium,15,23,9,49.6,3976,0,0
2024-12-30,display,dv360,CMDSSTR-CID8,Static,Product Detail,Light,13,24,9,114.6470588,7958.094118,1.894117647,0
2024-12-30,display,dv360,CMDSSTR-CID9,Static,Product Detail,Light,19,18,9,68,6348.066667,1.633333333,0
2024-12-30,display,dv360,CMDSTEC-CID3,Static,Product Detail,Light,22,19,5,1062.078351,70784.83711,14.21649485,0
2024-12-30,display,dv360,CMDSTEC-CID4,Static,Product Detail,Light,15,25,5,688.9863014,51331.97808,9.838356164,52.29874658
2024-12-30,display,dv360,CMDSTEC-CID6,Static,Product Detail,Light,18,28,5,665.56,33850.83692,7.129230769,0
2024-12-30,display,dv360,CMDSTEC-CID7,Static,Product Detail,Light,16,27,5,346.9413793,25661.85517,5.14137931,0
2024-12-30,display,dv360,CMDSTEC-CID8,Static,Product Detail,Light,14,15,5,228.0772727,12243.95455,2.227272727,0
2024-12-30,display,google_ads,CMDSAMM-CID0031,Static,Campaign Slogan,Light,19,14,9,242.669133,37077.84348,126.7913043,0
2024-12-30,display,google_ads,CMDSAMM-CID0032,Static,Campaign Slogan,Light,19,14,9,629.6008087,75017.35652,237.5130435,0
2024-12-30,display,google_ads,CMDSAMM-CID0033,Static,Campaign Slogan,Light,19,21,9,71.57092588,12200.42353,34.17647059,0
2024-12-30,display,google_ads,CMDSAMM-CID0034,Static,Campaign Slogan,Light,19,15,9,95.34193,6702.15,25.9875,0
2024-12-30,display,google_ads,CMDSAMM-CID0035,Static,Campaign Slogan,Light,19,37,9,156.4473867,29282.71111,72.95555556,0
2024-12-30,display,google_ads,CMDSAMM-CID0036,Static,Campaign Slogan,Light,19,22,9,137.8650633,4630.733333,16.1,0
2024-12-30,display,google_ads,CMDSAMM-CID0037,Static,Campaign Slogan,Medium,19,24,9,100.9834522,13738.66667,48.06666667,0
2024-12-30,display,google_ads,CMDSAMM-CID0038,Static,Campaign Slogan,Dark,19,23,9,536.3838,107680.8833,188.3,0
2024-12-30,display,google_ads,CMDSAMM-CID0039,Static,Campaign Slogan,Dark,19,24,9,700.3712143,11867.8,40.1,0
2024-12-30,display,google_ads,CMDSAMM-CID0040,Static,Campaign Slogan,Dark,19,20,9,461.86442,3483.2,28.7,0
2024-12-30,display,google_ads,CMDSMKS-CID2,Static,Product Detail,Light,17,20,9,83.34061,7809.2,28.23333333,0
2024-12-30,display,google_ads,CMDSMKS-CID3,Static,Product Detail,Light,16,27,9,221.7374667,18056.26667,90.53333333,0
2024-12-30,display,google_ads,CMDSMKS-CID4,Static,Product Detail,Medium,15,23,9,118.4870333,4429.6,34.53333333,0
2024-12-30,display,google_ads,CMDSMKS-CID5,Static,Product Detail,Light,18,19,9,722.832992,22842.96,150.36,0
2024-12-30,display,google_ads,CMDSMKS-CID7,Static,Product Detail,Medium,19,21,9,564.846884,14189.28,99.12,0
2024-12-30,display,google_ads,CMDSMKS-CID8,Static,Product Detail,Light,16,21,9,394.061525,19878.6,154.7,0
2024-12-30,display,google_ads,CMDSPMM-CID1,Static,Product Detail,Light,15,19,5,60.60537,4212.6,24.5,0
2024-12-30,display,google_ads,CMDSPMM-CID10,Static,Product Detail,Light,20,20,5,223.9916956,11394.75556,68.13333333,0
2024-12-30,display,google_ads,CMDSPMM-CID11,Static,Product Detail,Light,16,14,5,934.158,85442,281.05,0
2024-12-30,display,google_ads,CMDSPMM-CID4,Static,Product Detail,Light,19,29,5,406.819096,19323.36,162.12,0
2024-12-30,display,google_ads,CMDSPMM-CID5,Static,Product Detail,Light,17,23,5,369.4082367,30578.56667,106.4,0
2024-12-30,display,google_ads,CMDSPMM-CID6,Static,Product Detail,Medium,18,22,5,6497.692648,142704.9867,686.3733333,0
2024-12-30,display,google_ads,CMDSPMM-CID7,Static,Product Detail,Light,13,24,5,346.0822571,20236,77.8,0
2024-12-30,display,google_ads,CMDSPMM-CID8,Static,Product Detail,Light,16,27,5,661.918045,43081.96667,229.3666667,0
2024-12-30,display,google_ads,CMDSPMM-CID9,Static,Product Detail,Light,20,20,5,175.5801333,10732.4,52.73333333,0
2024-12-30,display,google_ads,CMDSSTR-CID1,Static,Product Detail,Medium,16,20,9,497.0975617,14444.5,76.3,0
2024-12-30,display,google_ads,CMDSSTR-CID10,Static,Product Detail,Light,12,28,9,9952.193089,823745.6267,2402.026667,0
2024-12-30,display,google_ads,CMDSSTR-CID12,Static,Product Detail,Light,21,13,9,747.2531467,74164.16,193.3866667,0
2024-12-30,display,google_ads,CMDSSTR-CID14,Static,Product Detail,Light,16,21,9,469.79574,27653,161.6,0
2024-12-30,display,google_ads,CMDSSTR-CID15,Static,Product Detail,Light,21,31,9,377.9395133,46089.49333,91,0
2024-12-30,display,google_ads,CMDSSTR-CID17,Static,Product Detail,Light,13,16,9,3946.823697,96110.93333,442.3222222,0
2024-12-30,display,google_ads,CMDSSTR-CID18,Static,Product Detail,Light,11,22,9,2000.529822,29807.52727,226.5454545,0
2024-12-30,display,google_ads,CMDSSTR-CID2,Static,Product Detail,Light,12,13,9,1152.517306,52064.92308,232.0769231,0
2024-12-30,display,google_ads,CMDSSTR-CID3,Static,Product Detail,Light,17,22,9,4799.505727,34272.25455,301.3818182,0
2024-12-30,display,google_ads,CMDSSTR-CID4,Static,Product Detail,Light,17,17,9,520.678878,45353,97.44,0
2024-12-30,display,google_ads,CMDSSTR-CID5,Static,Product Detail,Light,16,13,9,8750.569847,306930.2133,879.2,0
2024-12-30,display,google_ads,CMDSSTR-CID6,Static,Product Detail,Light,19,28,9,1938.025297,44318.55556,139.4555556,0
2024-12-30,display,google_ads,CMDSSTR-CID7,Static,Product Detail,Medium,15,23,9,2076.039964,126553.56,804.16,0
2024-12-30,display,google_ads,CMDSSTR-CID8,Static,Product Detail,Light,13,24,9,1999.465107,35908.13333,93.33333333,0
2024-12-30,display,google_ads,CMDSSTR-CID9,Static,Product Detail,Light,19,18,9,526.1036075,65452.8,191.275,0
2024-12-30,display,google_ads,CMDSTEC-CID3,Static,Product Detail,Light,22,19,5,164.7522933,7586.133333,59.73333333,0
2024-12-30,display,google_ads,CMDSTEC-CID4,Static,Product Detail,Light,15,25,5,357.935955,12677,89.25,0
2024-12-30,display,google_ads,CMDSTEC-CID6,Static,Product Detail,Light,18,28,5,52.31382,4202.8,28,0
2024-12-30,display,google_ads,CMDSTEC-CID7,Static,Product Detail,Light,16,27,5,1167.629166,15983.24,78.26,0
2024-12-30,display,google_ads,CMDSTEC-CID8,Static,Product Detail,Light,14,15,5,73.42263,6113.8,30.1,0
2024-12-30,paid_social,meta,CMDSAMM-CID0001,Static,Campaign Slogan,Light,19,14,3,201.12,17447.36,5.04,0
2024-12-30,paid_social,meta,CMDSAMM-CID0002,Static,Campaign Slogan,Light,19,14,3,45.66666667,3931.2,1.866666667,0
2024-12-30,paid_social,meta,CMDSAMM-CID0003,Static,Campaign Slogan,Light,19,21,3,446.16,38116.4,13.72,0
2024-12-30,paid_social,meta,CMDSAMM-CID0004,Static,Campaign Slogan,Light,19,15,3,95.84,8281.84,3.92,0
2024-12-30,paid_social,meta,CMDSAMM-CID0005,Static,Campaign Slogan,Light,19,37,3,415.56,35305.2,14.28,0
2024-12-30,paid_social,meta,CMDSAMM-CID0006,Static,Campaign Slogan,Light,19,22,3,88.68,7677.6,5.04,0
2024-12-30,paid_social,meta,CMDSAMM-CID0007,Static,Campaign Slogan,Medium,19,24,3,407.04,35674.8,12.88,0
2024-12-30,paid_social,meta,CMDSAMM-CID0008,Static,Campaign Slogan,Dark,19,23,3,829.72,75979.68,40.88,0
2024-12-30,paid_social,meta,CMDSAMM-CID0009,Static,Campaign Slogan,Dark,19,24,3,140.44,12245.52,4.2,0
2024-12-30,paid_social,meta,CMDSAMM-CID0010,Static,Campaign Slogan,Dark,19,20,3,160.84,13140.4,9.24,0
2024-12-30,paid_social,meta,CMDSBTS-CID15,Static,Product Detail,Light,16,13,3,7148.6,45312.4,53.2,0
2024-12-30,paid_social,meta,CMDSBTS-CID3,Static,Product Detail,Medium,15,17,3,3778,24383.52,26.88,623.844
2024-12-30,paid_social,meta,CMDSBTS-CID6,Static,Product Detail,Medium,18,22,3,3960.333333,81801.68889,281.4,1256.666667
2024-12-30,paid_social,meta,CMDSMED-CID2,Static,Product Detail,Light,17,20,3,6275.633333,243894.4667,1198.4,0
2024-12-30,paid_social,meta,CMDSMED-CID3,Static,Product Detail,Light,16,27,3,925.440002,37955.96,167.44,0
2024-12-30,paid_social,meta,CMDSMED-CID4,Static,Product Detail,Medium,15,23,3,4158.528571,130682.2,672.7,1714.031429
2024-12-30,paid_social,meta,CMDSMED-CID5,Static,Product Detail,Light,18,19,3,1855.7,11747.4,57.4,0
2024-12-30,paid_social,meta,CMDSMED-CID7,Static,Product Detail,Medium,19,21,3,73.1,3267.6,29.4,0
2024-12-30,paid_social,meta,CMDSMED-CID8,Static,Product Detail,Light,16,21,3,193.04,3321.92,15.12,0
2024-12-30,paid_social,meta,CMDSSHE-CID1,Static,Product Detail,Medium,16,20,3,344.86,12702.2,151.76,0
2024-12-30,paid_social,meta,CMDSSHE-CID10,Static,Product Detail,Light,12,28,3,7620.816667,243836.4833,1238.825,7917.585
2024-12-30,paid_social,meta,CMDSSHE-CID12,Static,Product Detail,Light,21,13,3,2783.466667,84152.32,440.2533333,2907.146667
2024-12-30,paid_social,meta,CMDSSHE-CID14,Static,Product Detail,Light,16,21,3,489.6888889,11526.66667,122.4222222,0
2024-12-30,paid_social,meta,CMDSSHE-CID15,Static,Product Detail,Light,21,31,3,2056.06,96268.64,382.76,312
2024-12-30,paid_social,meta,CMDSSHE-CID17,Static,Product Detail,Light,13,16,3,636.54,20324.92,266.98,0
2024-12-30,paid_social,meta,CMDSSHE-CID18,Static,Product Detail,Light,11,22,3,2178.02,81210.92,764.68,465.322
2024-12-30,paid_social,meta,CMDSSHE-CID2,Static,Product Detail,Light,12,13,3,930.08,44573.2,396.76,2858.622
2024-12-30,paid_social,meta,CMDSSHE-CID3,Static,Product Detail,Light,17,22,3,10434.44,440779.1733,3724.466667,12115.08133
2024-12-30,paid_social,meta,CMDSSHE-CID4,Static,Product Detail,Light,17,17,3,441.98,15227.52,196.42,296.244
2024-12-30,paid_social,meta,CMDSSHE-CID5,Static,Product Detail,Light,16,13,3,11622.65,526363.04,3732.96,17620.408
2024-12-30,paid_social,meta,CMDSSHE-CID6,Static,Product Detail,Light,19,28,3,330.66,13576.64,141.68,260
2024-12-30,paid_social,meta,CMDSSHE-CID7,Static,Product Detail,Medium,15,23,3,264.05,7903,71.05,0
2024-12-30,paid_social,meta,CMDSSHE-CID8,Static,Product Detail,Light,13,24,3,143.28,5122.88,27.44,0
2024-12-30,paid_social,meta,CMDSSHE-CID9,Static,Product Detail,Light,19,18,3,225.28,8578.36,21.84,0
2024-12-30,paid_social,meta,CMDSSTR-CID1,Static,Campaign Slogan,Light,60,53,3,1336.218182,165883.7091,116.8363636,141.8181818
2024-12-30,paid_social,meta,CMDSSTR-CID3,Static,Campaign Slogan,Light,61,55,3,3751.742857,357661.8,208.1,467.8885714
2024-12-30,paid_social,meta,CMDSSTR-CID4,Static,Campaign Slogan,Light,61,55,3,1035.766667,97104,31.5,0
2024-12-30,paid_social,meta,CMDSSTR-CID9,Static,Campaign Slogan,Light,72,77,3,2249.826667,285773.6,149.7066667,582.348
2024-12-30,paid_social,meta,CMDSTEC-CID12,Static,Product Detail,Medium,22,18,3,2065.857143,38533.2,237.4,3638.774286
2024-12-30,paid_social,meta,CMDSTEC-CID6,Static,Product Detail,Light,15,33,3,1841.25,10693.2,12.25,0
2024-12-30,paid_social,meta,CMDSTEC-CID8,Static,Product Detail,Medium,20,22,3,2543.422222,22968.4,54.75555556,0
2024-12-30,paid_social,pinterest,CMDSAMM-CID0021,Static,Campaign Slogan,Light,19,14,3,37.994684,9443.28,10.92,390
2024-12-30,paid_social,pinterest,CMDSAMM-CID0022,Static,Campaign Slogan,Light,19,14,3,223.047584,21026.6,57.96,815.932
2024-12-30,paid_social,pinterest,CMDSAMM-CID0024,Static,Campaign Slogan,Light,19,15,3,40.35861714,12414.8,11,0
2024-12-30,paid_social,pinterest,CMDSAMM-CID0026,Static,Campaign Slogan,Light,19,22,3,598.00091,39641.84,152.32,457.522
2024-12-30,paid_social,pinterest,CMDSAMM-CID0028,Static,Campaign Slogan,Dark,19,23,3,15.55728,4443.6,4.2,0
2024-12-30,paid_social,pinterest,CMDSAMM-CID0029,Static,Campaign Slogan,Dark,19,24,3,66.25486667,4977.777778,18.51111111,0
2024-12-30,paid_social,pinterest,CMDSAMM-CID0030,Static,Campaign Slogan,Dark,19,20,3,504.336642,46163.6,137.76,0
2024-12-30,paid_social,pinterest,CMDSMED-CID4,Static,Product Detail,Medium,15,23,3,14.06549,3122,3.5,0
2024-12-30,paid_social,pinterest,CMDSMED-CID5,Static,Product Detail,Light,18,19,3,19.572796,10065.44,5.88,0
2024-12-30,paid_social,pinterest,CMDSMED-CID7,Static,Product Detail,Medium,19,21,3,40.82228,12106.64,7.56,0
2024-12-30,paid_social,pinterest,CMDSPMM-CID1,Static,Product Detail,Medium,16,20,3,1401.199068,66471.44,260.96,1304.888
2024-12-30,paid_social,pinterest,CMDSPMM-CID10,Static,Product Detail,Light,12,28,3,3776.955264,145036.96,724.92,0
2024-12-30,paid_social,pinterest,CMDSPMM-CID12,Static,Product Detail,Light,21,13,3,17.184944,4172.56,4.76,0
2024-12-30,paid_social,pinterest,CMDSPMM-CID14,Static,Product Detail,Light,16,21,3,193.694864,18451.44,51.8,754
2024-12-30,paid_social,pinterest,CMDSPMM-CID15,Static,Product Detail,Light,21,31,3,158.741856,11039.84,35.28,0
2024-12-30,paid_social,pinterest,CMDSPMM-CID17,Static,Product Detail,Light,13,16,3,29.85791333,3979.733333,5.133333333,0
2024-12-30,paid_social,pinterest,CMDSPMM-CID18,Static,Product Detail,Light,11,22,3,3541.100104,250713.96,894.18,1638
2024-12-30,paid_social,pinterest,CMDSPMM-CID2,Static,Product Detail,Light,12,13,3,477.223044,44518.32,96.6,0
2024-12-30,paid_social,pinterest,CMDSPMM-CID3,Static,Product Detail,Light,17,22,3,3418.793608,287547.12,904.96,358.644
2024-12-30,paid_social,pinterest,CMDSPMM-CID4,Static,Product Detail,Light,17,17,3,314.795224,19968.48,62.44,202.644
2024-12-30,paid_social,pinterest,CMDSPMM-CID5,Static,Product Detail,Light,16,13,3,5139.879564,418790.4,1354.64,2028
2024-12-30,paid_social,pinterest,CMDSPMM-CID6,Static,Product Detail,Light,19,28,3,991.166524,61003.6,189.28,0
2024-12-30,paid_social,pinterest,CMDSPMM-CID7,Static,Product Detail,Medium,15,23,3,222.940524,69919.36,61.04,0
2024-12-30,paid_social,pinterest,CMDSPMM-CID8,Static,Product Detail,Light,13,24,3,222.698108,32158,49.56,0
2024-12-30,paid_social,pinterest,CMDSPMM-CID9,Static,Product Detail,Light,19,18,3,24.256188,4534.88,4.76,0
2024-12-30,paid_social,snapchat,CMDSAMM-CID0011,Static,Campaign Slogan,Light,19,14,3,459.5,21723.8,72.45,0
2024-12-30,paid_social,snapchat,CMDSAMM-CID0012,Static,Campaign Slogan,Light,19,14,3,273.7,8835.4,25.2,0
2024-12-30,paid_social,snapchat,CMDSAMM-CID0013,Static,Campaign Slogan,Light,19,21,3,300.25,10420.2,23.45,0
2024-12-30,paid_social,snapchat,CMDSAMM-CID0014,Static,Campaign Slogan,Light,19,15,3,260.9,8427.3,17.5,0
2024-12-30,paid_social,snapchat,CMDSAMM-CID0015,Static,Campaign Slogan,Light,19,37,3,255.55,8911.7,25.55,0
2024-12-30,paid_social,snapchat,CMDSAMM-CID0016,Static,Campaign Slogan,Light,19,22,3,276.85,9625.7,32.55,0
2024-12-30,paid_social,snapchat,CMDSAMM-CID0017,Static,Campaign Slogan,Medium,19,24,3,179.6,7886.9,16.1,0
2024-12-30,paid_social,snapchat,CMDSAMM-CID0018,Static,Campaign Slogan,Dark,19,23,3,525.85,20519.8,69.3,0
2024-12-30,paid_social,snapchat,CMDSAMM-CID0019,Static,Campaign Slogan,Dark,19,24,3,283.5,10528,33.25,0
2024-12-30,paid_social,snapchat,CMDSAMM-CID0020,Static,Campaign Slogan,Dark,19,20,3,616.25,17617.6,65.1,0
2024-12-30,paid_social,snapchat,CMDSBTS-CID1,Static,Product Detail,Light,15,19,3,656.6,24240.3,98.7,0
2024-12-30,paid_social,snapchat,CMDSBTS-CID10,Static,Product Detail,Light,20,20,3,2426.066667,73330.13333,218.4,0
2024-12-30,paid_social,snapchat,CMDSBTS-CID12,Static,Product Detail,Light,16,13,3,3093.15,141268.4,497.35,650
2024-12-30,paid_social,snapchat,CMDSBTS-CID4,Static,Product Detail,Light,19,29,3,660.12,18438,58.52,959.4
2024-12-30,paid_social,snapchat,CMDSBTS-CID5,Static,Product Detail,Light,17,23,3,1863.371429,52961.6,172,965.6028571
2024-12-30,paid_social,snapchat,CMDSBTS-CID6,Static,Product Detail,Medium,18,22,3,1745.966667,103278.4667,365.6333333,818.87
2024-12-30,paid_social,snapchat,CMDSBTS-CID7,Static,Product Detail,Light,13,24,3,560.6,44671.9,127.75,239.655
2024-12-30,paid_social,snapchat,CMDSBTS-CID8,Static,Product Detail,Light,16,27,3,1040.133333,34112.4,122.9666667,476.6666667
2024-12-30,paid_social,snapchat,CMDSBTS-CID9,Static,Product Detail,Light,20,20,3,777.04,28483.84,81.76,702
2024-12-30,paid_social,snapchat,CMDSMED-CID1,Static,Campaign Slogan,Light,60,53,3,628.15,26469.8,85.225,409.45125
2024-12-30,paid_social,snapchat,CMDSMED-CID2,Static,Campaign Slogan,Light,69,71,3,93.6,4103.866667,13.22222222,0
2024-12-30,paid_social,snapchat,CMDSMED-CID2,Static,Product Detail,Light,17,20,3,1243.622222,25761.55556,74.35555556,1195.826667
2024-12-30,paid_social,snapchat,CMDSMED-CID3,Static,Product Detail,Light,16,27,3,1427.6,40478.66667,109.2,0
2024-12-30,paid_social,snapchat,CMDSMED-CID4,Static,Campaign Slogan,Light,61,55,3,156.5818182,5601.527273,19.47272727,0
2024-12-30,paid_social,snapchat,CMDSMED-CID4,Static,Product Detail,Medium,15,23,3,2594.74,89070.24,229.74,819
2024-12-30,paid_social,snapchat,CMDSMED-CID5,Static,Product Detail,Light,18,19,3,170.4,5486.6,16.45,0
2024-12-30,paid_social,snapchat,CMDSMED-CID8,Static,Campaign Slogan,Light,53,39,3,518.2375,22058.925,62.65,0
2024-12-30,paid_social,snapchat,CMDSMED-CID8,Static,Product Detail,Light,16,21,3,211.04,12482.4,35.56,0
2024-12-30,paid_social,snapchat,CMDSMED-CID9,Static,Campaign Slogan,Light,72,77,3,335.2571429,14179.2,34.4,176.4285714
2024-12-30,paid_social,snapchat,CMDSSHE-CID10,Static,Product Detail,Light,12,28,3,3952.04,111840.4,566.44,5376.722
2024-12-30,paid_social,snapchat,CMDSSHE-CID12,Static,Product Detail,Light,21,13,3,4247.04,134130.92,482.16,3133.676
2024-12-30,paid_social,snapchat,CMDSSHE-CID14,Static,Product Detail,Light,16,21,3,320.4444444,8399.688889,27.22222222,0
2024-12-30,paid_social,snapchat,CMDSSHE-CID15,Static,Product Detail,Light,21,31,3,352.6,9841.688889,29.55555556,0
2024-12-30,paid_social,snapchat,CMDSSHE-CID18,Static,Product Detail,Light,11,22,3,5135.96,179400.48,608.3,2337.244
2024-12-30,paid_social,snapchat,CMDSSHE-CID3,Static,Product Detail,Light,17,22,3,8677.54,254584.68,1214.78,8799.024
2024-12-30,paid_social,snapchat,CMDSSHE-CID5,Static,Product Detail,Light,16,13,3,10949.36,342155.24,1467.62,19831.604
2024-12-30,paid_social,snapchat,CMDSSHE-CID7,Static,Product Detail,Medium,15,23,3,379.3111111,9660,30.48888889,0
2024-12-30,paid_social,snapchat,CMDSSHE-CID8,Static,Product Detail,Light,13,24,3,648.02,19810,55.02,299
2024-12-30,paid_social,snapchat,CMDSSHE-CID9,Static,Product Detail,Light,19,18,3,391.7333333,15155,57.4,0
2024-12-30,paid_social,snapchat,CMDSTEC-CID7,Static,Product Detail,Light,16,27,3,550.36,9786.56,29.96,0
2024-12-30,paid_social,tiktok,CMDSMKS-CID1,12s,Product Detail,Light,44,44,3,2179.4,84763,178.5,0
2024-12-30,paid_social,tiktok,CMDSMKS-CID1,12s,Product Detail,Medium,44,44,3,113.2,3032.4,15.4,0
2024-12-30,paid_social,tiktok,CMDSPMM-CID1,12s,Product Detail,Light,31,31,3,1272.7,47832.4,101.5,0
2024-12-30,paid_social,tiktok,CMDSPMM-CID1,12s,Product Detail,Medium,39,39,3,90.2,2976.4,8.4,0
2024-12-30,paid_social,tiktok,CMDSSHE-CID1,12s,Product Detail,Light,38,38,3,342.6,10731,17.15,0
2024-12-30,paid_social,tiktok,CMDSSHE-CID2,12s,Product Detail,Light,38,38,3,177.25,5866.7,15.4,0
2024-12-30,paid_social,tiktok,CMDSSHE-CID3,12s,Product Detail,Medium,38,38,3,889.95,28095.2,58.45,0
2024-12-30,paid_social,tiktok,CMDSTEC-CID1,12s,Product Detail,Light,34,34,3,2435.48,81916.24,203.28,1409.044
2024-12-30,paid_social,tiktok,CMDSTEC-CID2,12s,Product Detail,Light,38,38,3,647.68,21244.16,53.2,597.844
2024-12-30,paid_social,tiktok,CMDSTEC-CID3,12s,Product Detail,Medium,41,41,3,677.8,21289.52,48.16,0
2024-12-30,paid_social,tiktok,CMDSTEC-CID4,12s,Product Detail,Light,39,39,3,218.3,7459.9,14.35,0
