date,spend_paid_search,spend_paid_social,spend_programmatic,spend_email,visits,qualified_visits,kbas,leads
2025-02-09,98749,73632,545337,11140,219585,126279,27449,4629
2025-02-10,200465,67162,251180,17207,239865,242803,39475,2079
2025-02-11,135486,56194,352432,10726,218575,226350,47901,2296
2025-02-12,66877,56422,413597,11682,263495,226580,47204,2993
2025-02-13,373340,61729,557131,10450,206536,218423,17198,2661
2025-02-14,112612,58989,351397,26669,284698,205997,16307,2135
2025-02-15,390592,79006,467806,23124,252297,215882,33531,5108
2025-02-16,340324,66979,574529,12281,247441,208868,32750,4374
2025-02-17,268540,72064,227650,23828,293780,238648,22391,2304
2025-02-18,52629,50495,294446,29749,282738,136310,39099,5365
2025-02-19,327853,51899,550303,14705,289811,165103,32971,4318
2025-02-20,224091,63360,224089,14005,202186,141443,27229,3650
2025-02-21,343497,53575,573843,11599,245327,85259,44129,1112
2025-02-22,321714,75809,366702,13746,298167,235971,45012,2822
2025-02-23,184424,56478,581375,15619,282015,181040,26155,5746
2025-02-24,220447,50816,303226,11847,241911,107933,31773,2943
2025-02-25,148793,72583,366916,19063,280045,187595,36547,4607
2025-02-26,234341,54490,390025,25909,281253,90234,33911,3526
2025-02-27,114051,55272,561453,12065,288690,200695,16903,2494
2025-02-28,366300,68875,222050,24662,233693,183285,35305,675
2025-03-01,159272,76180,398624,16444,212935,197455,44853,2817
2025-03-02,83223,72008,596974,17199,261745,120762,36672,2085
2025-03-03,232274,76743,561258,15447,250593,147468,31186,751
2025-03-04,116246,56854,206968,13360,258066,159332,13380,3896
2025-03-05,373468,64910,201363,21055,251414,218798,45550,726
2025-03-06,236854,53136,332210,24469,209516,89147,43420,5571
2025-03-07,175240,57320,271844,26450,224509,134990,23780,3916
2025-03-08,303997,74295,472800,28684,289743,147430,41543,2271
2025-03-09,322148,64446,259940,29972,278710,167563,42562,5372
2025-03-10,95885,78198,518081,12336,289851,107531,21794,5542
2025-03-11,273626,65552,538512,14724,228144,169309,16136,1651
2025-03-12,128540,56850,586532,19004,259166,112983,43194,2098
2025-03-13,399951,63095,426392,25850,285002,146422,23830,2914
2025-03-14,396833,74277,385978,10421,250592,134601,46934,4214
2025-03-15,368901,56097,582247,16082,270856,123158,21672,1451
2025-03-16,341570,72672,413524,20925,291271,241511,23426,648
2025-03-17,282755,63640,253883,29795,251585,162493,34233,4516
2025-03-18,269153,50292,362321,29203,202664,120092,15423,1649
2025-03-19,109865,66404,396848,25905,260352,210406,41196,4818
2025-03-20,138776,73884,298414,10117,221601,202699,31925,2136
2025-03-21,395113,68670,429359,13174,290793,166039,49683,2284
2025-03-22,163614,63844,295584,15337,225291,225294,21800,1050
2025-03-23,194980,64122,306855,29368,245487,170363,24470,2885
2025-03-24,310021,77088,312831,28499,264857,101720,27611,5877
2025-03-25,201028,57614,228316,17973,261171,116422,44700,2963
2025-03-26,139669,56383,314408,17212,228804,199623,13121,1889
2025-03-27,175922,69373,576943,25119,259128,242513,16953,4095
2025-03-28,111746,75686,581404,23495,239610,218973,27519,5770
2025-03-29,230546,54511,583541,18671,291675,170794,20717,5594
2025-03-30,134407,51993,323036,26451,268988,108456,21101,3896
2025-03-31,85064,53114,596246,18423,254524,93151,28739,3984
2025-04-01,129957,61609,337978,17852,229466,236567,48396,2967
2025-04-02,393084,64778,327243,20621,243328,120683,20880,3345
2025-04-03,135321,50021,476015,20831,205251,119369,41132,4657
2025-04-04,352336,67184,533393,29946,283735,81090,35729,5941
2025-04-05,248098,67473,367970,19325,243797,200739,41349,1489
2025-04-06,81662,61278,362561,14390,244498,138508,36698,4586
2025-04-07,82165,73677,510762,18569,254641,115433,28600,5560
2025-04-08,119384,59917,397484,19501,290422,113732,14387,2251
2025-04-09,176437,69077,391412,14109,214893,131909,22536,973
2025-04-10,103344,53082,572928,22841,204725,99273,11991,4747
2025-04-11,136044,54957,417756,23440,297353,219930,21423,5605
2025-04-12,325313,66204,221998,14743,283958,156303,14934,3416
2025-04-13,345002,73191,258124,29585,245925,149416,23745,3939
2025-04-14,174785,76287,237209,10548,281961,104014,20880,4269
2025-04-15,58985,64581,543372,20089,231494,218245,31224,5490
2025-04-16,205301,61813,476565,15639,264577,184222,42459,917
2025-04-17,90893,50290,289768,17293,205270,82905,24399,3415
2025-04-18,119883,53815,313510,10520,205526,115953,31957,3870
2025-04-19,120441,64401,359650,11612,275395,203063,33060,5144
2025-04-20,90454,67215,368745,12916,201126,242503,11982,2218
2025-04-21,364791,61785,304016,11967,272556,125457,40724,1496
2025-04-22,252576,64741,316529,25997,264431,132599,18091,3958
2025-04-23,252992,70399,355495,27374,269040,169067,49416,3232
2025-04-24,170260,63346,475289,14405,267703,116394,23124,4915
2025-04-25,110952,73220,208506,19300,219533,143936,10244,2720
2025-04-26,324616,59418,380039,13924,291267,173266,15410,3793
2025-04-27,278264,68847,262112,26951,268480,145021,22591,2001
2025-04-28,162499,73567,417059,12908,290108,81719,35496,818
2025-04-29,390730,74928,214860,15558,259751,215792,17916,4308
2025-04-30,94399,59965,246543,22494,258589,217958,38762,657
2025-05-01,281721,51500,552849,21319,229205,205417,45812,5682
2025-05-02,63848,55873,256688,24211,260414,148742,47008,1901
2025-05-03,359631,69932,314043,19251,237547,111937,14888,2692
2025-05-04,188008,65226,343742,26545,216486,232754,44368,2306
2025-05-05,363223,70753,588407,10665,261813,227572,40113,4777
2025-05-06,248151,66657,395837,25347,279752,178041,28075,1907
2025-05-07,324911,57117,472658,19810,267249,117114,43771,2980
2025-05-08,276146,73240,223767,12115,236899,236324,31479,831
2025-05-09,73858,73173,559765,11522,261755,104597,12328,3665
2025-05-10,174176,59566,290329,23186,232585,166642,42717,3980
2025-05-11,153014,69258,513711,13066,238042,95785,10916,2018
2025-05-12,275949,68348,589573,13448,215145,157286,49719,3576
2025-05-13,164097,53653,592782,26670,207494,83193,34588,3337
2025-05-14,94299,64644,261673,22907,255774,239269,28270,1400
2025-05-15,94413,61762,360146,29527,221434,106914,32054,3166
2025-05-16,340432,61629,573905,14318,238837,177935,22539,4079
2025-05-17,90074,50562,590922,23841,264940,155424,35440,5663
2025-05-18,317242,73132,539341,26877,216376,118366,42571,4425
2025-05-19,138502,77671,239338,13565,201110,149402,27012,2643
2025-05-20,187264,60159,542391,14749,282924,87314,22556,4118
2025-05-21,71528,67498,446653,13838,229997,192784,10516,2643
2025-05-22,181383,75517,565908,22396,293221,209102,33613,2468
2025-05-23,123986,65015,292351,21850,224423,122978,35622,3687
2025-05-24,228960,51587,351095,24387,218891,220903,15938,2647
2025-05-25,87028,76078,372494,16258,274646,98921,12789,4142
2025-05-26,98760,77505,518145,29633,212008,200327,19386,1803
2025-05-27,54466,65925,567394,17613,210712,172479,39727,2424
2025-05-28,391530,51828,280259,25512,224977,174818,25668,1233
2025-05-29,384325,53291,514345,20501,253607,191054,39517,4714
2025-05-30,224095,55113,233881,21777,260262,119848,42566,4119
2025-05-31,51735,51260,262753,26543,222824,165960,22455,5383
2025-06-01,749566,144248,1009830,22380,504822,204992,62326,5786
2025-06-02,769358,130170,720300,43878,490200,341610,53166,5110
2025-06-03,783548,137164,909610,42568,430398,295488,43262,1782
2025-06-04,450386,109644,996168,51854,416170,380184,37000,4392
2025-06-05,228050,120486,407096,33690,439996,244218,47342,10470
2025-06-06,660634,159502,437584,49488,517872,477784,47718,10504
2025-06-07,720992,140932,809322,48280,446184,414420,74162,6462
2025-06-08,472996,151146,730632,26844,473428,335730,42740,2398
2025-06-09,461884,120858,898308,56164,411586,466220,49766,6510
2025-06-10,407468,127876,474346,20714,525326,404960,53640,6618
2025-06-11,293770,146958,633448,34146,593092,219206,40482,4864
2025-06-12,798326,122756,537714,59336,498924,305366,23670,3448
2025-06-13,765886,106894,893652,59968,524722,490764,26890,3170
2025-06-14,249058,107434,1150336,51514,408074,452016,40332,10748
2025-06-15,176618,116654,1018092,38328,400292,309140,40920,7506
2025-06-16,174626,144914,562444,40184,516762,296540,52108,9880
2025-06-17,709050,141704,647814,53322,416340,472420,23390,10700
2025-06-18,668702,109782,425170,59588,546694,228154,98830,3880
2025-06-19,310924,145504,807148,55084,474600,251862,79590,6664
2025-06-20,623918,142346,687936,33644,546770,470086,57378,3630
2025-06-21,716814,156314,590784,30400,488998,479684,41694,11620
2025-06-22,521642,124042,1063108,44766,519168,231740,54732,11182
2025-06-23,799744,157832,1108534,24932,599726,243212,88994,7370
2025-06-24,596694,149618,898498,34832,597326,189678,61146,7472
2025-06-25,541676,159494,1047484,22896,489672,281500,39218,4850
2025-06-26,505000,125816,1186854,30578,435232,366286,75410,7710
2025-06-27,223470,148996,942186,20890,469542,173486,22136,1798
2025-06-28,356434,103032,687212,36518,441064,207680,25206,7900
2025-06-29,387856,107130,906596,47352,423654,163424,23008,5010
2025-06-30,299352,143694,633076,36308,435954,317724,62532,4028
2025-07-01,577040,133348,1154566,31942,455312,475918,33252,10242
2025-07-02,207690,122922,572492,37166,439502,383790,84504,1590
2025-07-03,365068,136628,686844,54650,589874,269258,87494,4486
2025-07-04,494390,104056,667716,37732,420552,175180,61598,11060
2025-07-05,628922,117424,1181386,35750,426948,367078,51860,6240
2025-07-06,147324,147710,641394,30282,565860,432400,44948,6720
2025-07-07,410824,129634,492610,30498,423066,263670,27168,3944
2025-07-08,785080,133744,865140,41546,440738,193654,62942,9132
2025-07-09,234676,135284,1145792,44660,436058,233424,45142,9096
2025-07-10,205780,119762,1178990,46100,538242,341454,82994,3148
2025-07-11,741974,115298,766736,34768,575608,230714,52812,7450
2025-07-12,149866,121226,1108380,55276,538412,170088,88694,8312
2025-07-13,648142,121302,830482,47026,599658,483848,34010,3254
2025-07-14,712156,104908,579312,35254,511400,475202,65644,7666
2025-07-15,224960,145524,745644,46272,554912,445806,40562,1978
2025-07-16,234956,109206,770436,59394,576788,169364,30192,7832
2025-07-17,572658,108570,1164060,29240,409604,345860,26594,9136
2025-07-18,197476,133664,919428,39222,501450,288604,53958,8436
2025-07-19,575068,159560,758504,56174,493894,415488,37878,11518
2025-07-20,735002,145408,523250,45964,531410,304488,82206,3666
2025-07-21,250162,127320,887616,24946,513466,290094,76284,2560
2025-07-22,619188,115712,731874,44222,585112,399092,88666,4514
2025-07-23,284782,113078,818886,23144,588996,292616,43624,10722
2025-07-24,751992,132878,1133840,48398,529194,429098,51172,7194
2025-07-25,264270,102676,929152,32084,523380,257610,65402,9934
2025-07-26,168284,116748,1095212,53310,461142,226638,57566,7072
2025-07-27,725890,125326,644126,31602,522036,255910,39960,10356
2025-07-28,255534,123176,802734,37572,407060,239950,31300,4844
2025-07-29,231164,142424,740988,47636,547426,270426,42908,11830
2025-07-30,539328,125306,415168,38710,537176,452812,42832,5100
2025-07-31,482430,154568,985856,41380,513654,322714,26694,3736
2025-08-01,780672,108018,983998,48026,536696,362838,94294,9324
2025-08-02,445986,109370,789670,45730,489024,190232,28892,5062
2025-08-03,504642,147590,888046,26014,539178,225930,36810,5846
2025-08-04,356186,109830,778186,48378,583772,370112,96978,8388
2025-08-05,370756,127406,991026,54076,448212,233434,90720,5172
2025-08-06,642924,154652,689494,31304,551968,180396,63438,6126
2025-08-07,551398,109672,1180112,55554,544646,456738,63104,7592
2025-08-08,711290,148804,599488,33492,472104,457126,45726,2794
2025-08-09,711052,143674,1023650,51934,549486,339184,69778,5600
2025-08-10,107230,113412,1178798,37022,550484,449866,67876,10088
2025-08-11,340622,148840,598206,50338,580122,406980,51594,4996
2025-08-12,793726,128782,1156574,20534,560544,428532,52762,10828
2025-08-13,625460,100414,905208,20590,426232,434326,83772,7820
2025-08-14,142006,150906,714322,51436,450518,225242,92682,5492
2025-08-15,186598,149928,1016384,33000,584800,253050,44622,4866
2025-08-16,447800,120278,439628,55636,404480,278112,45342,8952
2025-08-17,545296,119272,926392,46292,434898,454994,30974,7022
2025-08-18,337840,107258,872670,21408,417534,249812,80680,2896
2025-08-19,680542,134174,1061030,53448,551232,499770,96756,10220
2025-08-20,500698,148216,590382,35792,582054,314686,80922,8420
2025-08-21,403736,114408,747578,49812,435558,303190,25186,8126
2025-08-22,455358,102252,1078482,32136,521272,166536,99522,9004
2025-08-23,460284,118208,621238,59474,562212,476102,30832,4782
2025-08-24,629986,109958,1032156,32006,582354,382152,53124,7528
2025-08-25,199610,107564,556694,20266,535484,420632,92662,8784
2025-08-26,460834,111906,1138992,45088,444258,258492,33758,2858
2025-08-27,764672,107766,650986,22088,554000,242428,90400,8264
2025-08-28,173962,152590,1098490,50402,562978,308188,38256,2162
2025-08-29,321900,141356,548836,54424,463070,286866,23008,7348
2025-08-30,506768,123180,519610,54002,472440,210618,29324,10036
2025-08-31,540856,144020,532472,54234,525100,190498,96766,2982
2025-09-01,491318,138118,1038120,51878,428124,416102,81716,3406
2025-09-02,447142,141032,998036,30288,525942,350906,36614,6196
2025-09-03,375886,113066,468326,40720,402768,387990,99844,2612
2025-09-04,491060,141198,753792,44304,466852,496246,74824,10382
2025-09-05,656478,142810,908564,44954,588276,276462,59574,6878
2025-09-06,517882,112902,509356,25902,418752,188948,92064,2490
2025-09-07,292536,142118,1095770,43334,588214,182596,68990,4508
2025-09-08,541692,155740,493024,52624,444520,264540,28264,6042
2025-09-09,707708,129188,1184726,26158,420950,396554,57620,3730
2025-09-10,765604,156462,958656,22700,484156,467342,71794,7004
2025-09-11,677366,128924,971134,21960,559082,181968,74908,9796
2025-09-12,637192,128186,754070,57906,402548,443908,25682,4154
2025-09-13,282722,156352,411144,52318,433842,255278,45002,1666
2025-09-14,183250,141952,845394,20326,435052,481572,52452,11256
2025-09-15,208232,114364,802622,27280,510402,233990,75296,3910
2025-09-16,505558,132384,518516,20724,536540,448832,84858,11222
2025-09-17,592822,150566,551408,57142,466318,198458,32426,5448
2025-09-18,614870,143324,513916,57698,597714,475982,49364,1910
2025-09-19,523370,149200,1166180,40504,511668,273624,74108,4534
2025-09-20,482312,133016,923710,33288,486534,373808,94544,3232
2025-09-21,521940,103320,894294,43812,545142,405490,53426,8298
2025-09-22,595534,103568,546316,40246,489974,303030,68654,2638
2025-09-23,347330,153926,507006,27742,427852,265072,28558,5550
2025-09-24,147996,121098,453446,50878,593898,278192,30772,10776
2025-09-25,498740,141384,680216,34364,494776,374756,44442,9424
2025-09-26,101426,122508,874022,26384,415330,365758,24534,5494
2025-09-27,432230,108624,646862,53606,483750,410064,93878,10174
2025-09-28,123126,150462,483884,28090,491342,277832,74122,11494
2025-09-29,706736,121246,605780,59944,493644,406984,29592,11374
2025-09-30,321608,155646,946388,52158,491746,257586,77274,7288
2025-10-01,220216,76290,496163,25271,224778,201793,11295,5032
2025-10-02,138339,74581,262354,17123,254205,188498,15899,4311
2025-10-03,213135,76714,342748,21695,247643,180471,38176,953
2025-10-04,70071,53395,573446,23972,259842,243171,39461,5085
2025-10-05,73567,79268,457494,29035,285157,127208,27517,3837
2025-10-06,373725,58222,361334,12945,202995,100961,46392,1307
2025-10-07,371341,62537,380215,10620,290618,194621,40288,2862
2025-10-08,229765,63865,446377,25010,260924,193582,33638,2816
2025-10-09,119149,66199,304402,28236,254171,200871,31311,2966
2025-10-10,208128,66730,446537,13358,298713,193701,48888,5164
2025-10-11,238911,79399,276914,21796,259695,115435,18966,741
2025-10-12,147910,61497,359730,17626,284218,140655,47700,4215
2025-10-13,134848,70471,276833,11946,201151,115520,32616,3301
2025-10-14,282125,51307,546263,18348,279928,237280,11934,856
2025-10-15,64196,50691,313724,16123,285240,130935,24400,4916
2025-10-16,89960,51792,490365,24541,204312,128434,26461,5760
2025-10-17,173224,55442,211476,10830,290788,219304,29740,5088
2025-10-18,217539,63050,313336,10495,206125,138063,28588,1492
2025-10-19,76949,59335,480213,21624,200231,198772,18732,1312
2025-10-20,255145,64589,439618,24759,282315,160367,49138,2233
2025-10-21,392642,76095,496392,22637,267316,104507,30546,4305
2025-10-22,122458,50669,470387,19563,270744,187173,24366,1533
2025-10-23,387267,58750,461634,21153,240994,161920,45000,697
2025-10-24,396028,56768,517475,28699,245709,131088,12108,3350
2025-10-25,121232,61157,206164,13548,234235,213092,31895,5709
2025-10-26,135856,52568,531371,27560,213743,85729,37082,4629
2025-10-27,95667,68542,336174,29662,224530,157017,11813,5147
2025-10-28,370428,54505,571869,21185,297046,124654,33434,4142
2025-10-29,58225,54719,472469,14650,246063,210027,28425,708
2025-10-30,100825,70171,514597,16599,227601,236001,30193,3238
2025-10-31,247815,71012,398900,21284,275689,161389,25919,1194
2025-11-01,390336,54009,491999,24013,268348,181419,47147,4662
2025-11-02,222993,54685,394835,22865,244512,95116,14446,2531
2025-11-03,252321,73795,444023,13007,269589,112965,18405,2923
2025-11-04,178093,54915,389093,24189,291886,185056,48489,4194
2025-11-05,185378,63703,495513,27038,224106,116717,45360,2586
2025-11-06,321462,77326,344747,15652,275984,90198,31719,3063
2025-11-07,275699,54836,590056,27777,272323,228369,31552,3796
2025-11-08,355645,74402,299744,16746,236052,228563,22863,1397
2025-11-09,355526,71837,511825,25967,274743,169592,34889,2800
2025-11-10,53615,56706,589399,18511,275242,224933,33938,5044
2025-11-11,170311,74420,299103,25169,290061,203490,25797,2498
2025-11-12,396863,64391,578287,10267,280272,214266,26381,5414
2025-11-13,312730,50207,452604,10295,213116,217163,41886,3910
2025-11-14,71003,75453,357161,25718,225259,112621,46341,2746
2025-11-15,93299,74964,508192,16500,292400,126525,22311,2433
2025-11-16,223900,60139,219814,27818,202240,139056,22671,4476
2025-11-17,272648,59636,463196,23146,217449,227497,15487,3511
2025-11-18,168920,53629,436335,10704,208767,124906,40340,1448
2025-11-19,340271,67087,530515,26724,275616,249885,48378,5110
2025-11-20,250349,74108,295191,17896,291027,157343,40461,4210
2025-11-21,201868,57204,373789,24906,217779,151595,12593,4063
2025-11-22,227679,51126,539241,16068,260636,83268,49761,4502
2025-11-23,230142,59104,310619,29737,281106,238051,15416,2391
2025-11-24,314993,54979,516078,16003,291177,191076,26562,3764
2025-11-25,99805,53782,278347,10133,267742,210316,46331,4392
2025-11-26,230417,55953,569496,22544,222129,129246,16879,1429
2025-11-27,382336,53883,325493,11044,277000,121214,45200,4132
2025-11-28,86981,76295,549245,25201,281489,154094,19128,1081
2025-11-29,160950,70678,274418,27212,231535,143433,11504,3674
2025-11-30,253384,61590,259805,27001,236220,105309,14662,5018
2025-12-01,270428,72010,266236,27117,262550,95249,48383,1491
2025-12-02,245659,69059,519060,25939,214062,208051,40858,1703
2025-12-03,223571,70516,499018,15144,262971,175453,18307,3098
2025-12-04,187943,56533,234163,20360,201384,193995,49922,1306
2025-12-05,245530,70599,376896,22152,233426,248123,37412,5191
2025-12-06,328239,71405,454282,22477,294138,138231,29787,3439
2025-12-07,258941,56451,254678,12951,209376,94474,46032,1245
2025-12-08,146268,71059,547885,21667,294107,91298,34495,2254
2025-12-09,270846,77870,246512,26312,222260,132270,14132,3021
2025-12-10,353854,64594,592363,13079,210475,198277,28810,1865
2025-12-11,382802,78231,479328,11350,242078,233671,35897,3502
2025-12-12,338683,64462,485567,10980,279541,90984,37454,4898
2025-12-13,318596,64093,377035,28953,201274,221954,12841,2077
2025-12-14,141361,78176,205572,26159,216921,127639,22501,833
2025-12-15,91625,70976,422697,10163,217526,240786,26226,5628
2025-12-16,104116,57182,401311,13640,255201,116995,37648,1955
2025-12-17,252779,66192,259258,10362,268270,224416,42429,5611
2025-12-18,296411,75283,275704,28571,233159,99229,16213,2724
2025-12-19,307435,71662,256958,28849,298857,237991,24682,955
2025-12-20,261685,74600,583090,20252,255834,136812,37054,2267
2025-12-21,241156,66508,461855,16644,243267,186904,47272,1616
2025-12-22,260970,51660,447147,21906,272571,202745,26713,4149
2025-12-23,297767,51784,273158,20123,244987,151515,34327,1319
2025-12-24,173665,76963,253503,13871,213926,132536,14279,2775
2025-12-25,73998,60549,226723,25439,296949,139096,15386,5388
2025-12-26,249370,70692,340108,17182,247388,187378,22221,4712
2025-12-27,50713,61254,437011,13192,207665,182879,12267,2747
2025-12-28,216115,54312,323431,26803,241875,205032,46939,5087
2025-12-29,61563,75231,241942,14045,245671,138916,37061,5747
2025-12-30,353368,60623,302890,29972,246822,203492,14796,5687
2025-12-31,160804,77823,473194,26079,245873,128793,38637,3644
